,restaurant,score,sentence,sentiment,polarity,positive,negative,neutral
11,Broadway Oyster Bar,5,"My friend: you want to go to a local spot?
Me: yep
Off we go to this awesome place near the angry beaver about 10 minutes away from our hotel. We waited for about 30 minutes but ooo I would have waited for an hour if they told me too after experiencing what I ate.
We sat down and instantly made friends with the table next to us. They even let us taste their alligator cheesecake and we had no words for the joy that overwhelmed our taste buds. Plus, we ate off a strangers plate, my mom would normally say no to this sort of thing, but… 🤷🏻‍♀️
We then ordered what the other table next to us said which was the red beans and rice and oops we got a cup of the gumbo on accident, but we didn’t know so we ate it. Then came the red beans, both were delicious.
We were in heaven by the time the oysters came and decided to order two different kinds. One had bacon cream sauce… yes, please
Dessert was a must and they only had one so it was an easy choice. Bread pudding and it was like breakfast and dessert and it all the spots.
I’d go back to Missouri just to take friends here.",0.1501543209876543,0.4452160493827161,0,0,1
12,Broadway Oyster Bar,4,"Great food, great music, great ambiance. The server will take your order and bring you drinks, but they have food runners which defeats the purpose to me of having a server. I could have just as easily ordered food and my drinks from the bar and had it come out that way. PLUS they don’t split the bill! They bring you one bill and you have to tell them how much you want your card charged.",0.6283333333333335,0.6566666666666667,1,0,1
13,Broadway Oyster Bar,5,"Inside/ outside dining,very eclectic. I had the shrimp and wild mushrooms pasta, hubby had voodoo gator bites-a little spicy, the other couple shared tacos but sure what was in them (fish/shrimp?) It came with jambalaya. And we got to of the same appetizer ""The CHEESECAKE "" made with crawfish and alligator sausage ground up in the cream cheese, came with flat bread points. AMAZING.",0.1078125,0.42048611111111106,0,0,1
14,Broadway Oyster Bar,5,"Best oyster po boy I have ever had and the bread was phenomenal which is brought in from New Orleans and I had it with it with the voodoo sauce which I have a recommend if you like spicy.

Crawfish soup was okay but was a little bit on the sweet side for me.

I had a dozen of the golf oysters in those were great too!

If you are in St Louis looking for a good place to eat, I recommend this place as a definite stop",0.44431818181818183,0.5282828282828284,0,0,1
15,Broadway Oyster Bar,5,"Broadway Oyster Bar is one of the New Orleans style restaurants in St Louis and its really good. If you're in town, it's worth stopping by for some good food. The crab cakes are delicious along with fried green tomatoes. The jambalaya is spicy and good too!",0.5016233766233765,0.5220779220779221,1,0,1
16,Broadway Oyster Bar,5,This place was everything the reviews suggested. Extensive menu and drink options. Tons of New Orleans flair and the entire bar is decorated with dofferent things on the walls and ceiling. Really neat spot and some friendly staff. I ended up going two days in a row.,0.14227272727272727,0.42257575757575755,0,0,1
17,Broadway Oyster Bar,5,"SO GOOD! everything we had was amazing. The lobster cheesecake (I know, sounds crazy but trust me on this one), shrimp po boy, the BEST shrimp n grits I've had and oysters. Cant go wrong. Service and staff were wonderful as well and super helpful! 👌",0.3988095238095238,0.7523809523809524,0,0,1
18,Broadway Oyster Bar,4,"I've been here several times. I have tried several things but I LOVE the char-grilled oysters, the cheesecake, and the mac & cheese. The service can be better but wasnt horrible even to leave.",0.0,0.42000000000000004,0,0,1
19,Broadway Oyster Bar,5,One of the best oyster bars in Midwest. Other food items are quite delicious as well particularly very unique shrimp & grits. Great beer selection including some very nice local ones. I particularly enjoyed Bavarian lager called Zwickel from Urban Chest Brewery. This place is a must visit for anyone visiting St. Louis.,0.4936111111111111,0.5694444444444444,0,0,1
20,Broadway Oyster Bar,5,"Broadway Oyster Bar was all that and then some! My friend and I were in the search for some seafood. This place was recommended by someone trustworthy, and they did not disappoint. Let's just say we started out with oysters. Two different kinds. And they both were marvelous. The Char-grilled Oysters and the Oysters Nola were excellent. Then we tried another appetizer. The Alligator Sausage and Shrimp Cheesecake was savory and extremely delicious. Then for my meal I chose the Crawfish Enchiladas. Can we say OH... MY... GOSHHHHHH! So SOOO very good. It comes with Jambalaya too. My friend had an appetizer for her meal. The Blue Crab Cakes. There were three of them, each on top of a fried green tomato. It was delicious, but a little too much filling for our liking. We were thoroughly satisfied overall with the food. We will definitely come back. And we DEFINITELY recommend your trying out Broadway Oyster Bar. The service is awesome. And everyone is friendly. Thanks guy! Until NEXT time...",0.367375,0.534,0,0,1
21,Broadway Oyster Bar,5,"The food, atmosphere, and service was absolutely perfect. We had no issues at all.

We started our supper with char-grilled oysters. They came to the table hot and perfectly seasoned. They were a good size and very flavorful. It was $16.99 for a half dozen.

The menu states that their food is spicy because that's their style. I enjoyed the spiciness of my dish, my friend's was a little too spicy for her (she doesn't normally eat anything spicy). My friend had the Mahi Mahi Chef's Special which came on a bed of risotto with mushrooms and jalapenos. She said it was very spicy even after she removed the jalapenos, but when I tried it I would have rated it mild to medium spicy if you are used to eating spicy food. I had the Crawfish Enchiladas with fresh pico de Gallo and homemade jambalaya. They came with a delicious, creamy cheese sauce on top. They were medium spicy in my opinion, which was perfect for me. The jambalaya that came with it was more on the ""hot"" side of spicy. It was very flavorful too!

One of the other friends at our table had crab cakes, which she said was not spicy at all. They were smaller crab cakes but there were several of them on the plate. This crab cakes came on a fried green tomato and had a delicious sauce on them.

The fourth person had jambalaya, rice and garlic Parmesan french fries. His dish was almost too spicy for him but he ate most of his. He said the fries were delicious and the garlic Parmesan was really flavorful.

We did not have dessert. We did have drinks from the bar
I had a Berry Margarita and someone else at our table had a Rum Runner. My drink was delicious and generous with the alcohol. My friend said her drink was way too strong. I think they are perhaps a little heavy with the alcohol, but it was still tasty!

We highly recommend Broadway Oyster Bar for great food and good, strong cocktails! You MUST try the char-grilled oysters if you love oysters!",0.35746867167919794,0.5492042606516291,0,0,1
22,Broadway Oyster Bar,5,"The last time I was here was 8 years ago... The food and atmosphere are still the same! Kitschy cajun dive bar with live music and fantastic food. For 8 years I've thought about the char grilled oysters. They were just as delicious as I remembered! I also ordered the sampler platter...it had jambalaya, etouffee, red beans and rice and a cup of gumbo to share with my daughter. It was all really good. There was live music at the time we were there which was nice out on their side patio. I love this place! A must try if you are in St Louis❤️",0.35977272727272724,0.5291666666666666,0,0,1
23,Broadway Oyster Bar,4,"We came to St. Louis from Chicago for the Cubs/Cardinals game and had a great time on Saturday night with my wife,  the band played some great funk music and the place was packed. Unfortunately started raining really bad that kinda ruined the night. Overall we had a good time although $20 cover charge is a little too expensive.",0.001388888888888921,0.5962962962962962,0,0,1
24,Broadway Oyster Bar,5,Best crawfish enchiladas I ever had the crab cakes were diffrent than what I'm used to but very good as well with a friendly staff and positive atmosphere it's a well earned 5 stars,0.6280681818181818,0.5313636363636364,1,0,1
25,Broadway Oyster Bar,5,The food was absolutely delicious 🤤 I had the Voodoo shrimp tacos 🍤🌮 and they were so fire 🔥🔥🔥 you only get two but they are loaded. I was full after one. Great portion of fries 🍟. I also got the catfish fritters and they were good but I asked for extra crispy and they definitely wasn’t. I didn’t like how they threw all my fries on my tacos either! Could be a little more neat with the separation. I had to pick all fries out my tacos before I could actually eat them. I also purchased a Groupon so if you have one go get a discount! I did curb side pick up. It was easy to place the order but the back lot to pick it up is extremely small !! Be cautious of this when pulling in. Over all would definitely go again food was sooo good !!! ❤️❤️,0.28034722222222225,0.5288888888888889,0,0,1
26,Broadway Oyster Bar,5,Loved the inside bar. Didn't go outside because of the $5 cover but had a great time inside with Brett as our bartender! He made us feel welcomed and is hilarious! We met some awesome people as well so the patrons and staff really made this place enjoyable for a Monday night!,0.5928571428571429,0.6285714285714287,1,0,1
27,Broadway Oyster Bar,5,"This place is busy and packed but it’s bomb!!   I had a reservation twice still had to wait for 20-30MINS for a table. I still give 5 stars because food exceeded my expectations. Servers were very friendly. Pretty chill crowd.
My server suggested shrimp tacos and they were phenomenal. Mmmm! Second visit we ordered the sampler and they have the best jambalaya I’ve ever had. Their drinks were amazing too. I love this place. Will come back for sure!",0.42437500000000006,0.513888888888889,0,0,1
28,Broadway Oyster Bar,5,I absolutely love this place!!! The shrimp & alligator sausage cheesecake is the best & I have to get it every time I go! You will not be disappointed 😌🔥❤️,0.4088541666666667,0.5499999999999999,0,0,1
29,Broadway Oyster Bar,5,"Perfection in the middle of this big city! One of our top places to eat while visiting STL! Love the spicy food and haven't had a bad meal yet! The Gumbo is the freshest I've tasted outside of New Orleans! Authentic southern dishes that won't leave you hungry, but just wasting8 more, to keep eating! Not a disappointment in site! So impressive,  from the food to the staff! The love music on the patio was inviting but we were on a schedule! Go thru the door with high expectations and they'll be accommodated! So impressed by every dish! The salmon special was outstanding and seasoned to perfection with my ""horn gator"" drink! Fun and delightful! You can't help but look around at all the southern charm walls, packed with fun! You'll love it! Whatever you do, use the restroom while you're there!",0.36397162619988704,0.47207133446263877,0,0,1
30,Broadway Oyster Bar,5,The food and drinks was really good overall besides the Alfredo pasta. It tasted like it has onion in it and that's a little different from the traditional recipe. But one thing that has my taste buds wanting more is the Alligator cheese cake.,0.16874999999999998,0.4916666666666667,0,0,1
31,Broadway Oyster Bar,5,"Imho, the best spicy crawfish in the area. Get their hot powder on the side, brother had shrimp and crab po' boy sliders...he loved it but voodoo sauce not spicy for us southerners or westerners....for most Midwesterners, hot. It was about a 1 for us out of ten. The pail I had, 1# was $20 worth of absolute heaven.",0.4,0.5375000000000001,0,0,1
32,Broadway Oyster Bar,5,"Great atmosphere, food, drinks and service. Make sure to get reservations or go online on the waiting list. It gets really really busy but so worth it.",0.42500000000000004,0.5097222222222222,0,0,1
33,Broadway Oyster Bar,5,"I have baby tastebuds that don’t like spice or heat, so I was a little nervous looking at the menu but I landed on pulled pork sliders which were DELISH. Also split the crab cakes with a friend and we agreed they were some of the best we’ve ever had. Will definitely be eating here again.",0.2708333333333333,0.43333333333333335,0,0,1
34,Broadway Oyster Bar,5,"This is one of the best atmospheric places in St Louis. Food is absolutely divine.  Wife had the shrimp and grits, I had the grilled Mahi Mahi. Omg loved it",0.475,0.5,0,0,1
35,Broadway Oyster Bar,5,Creole restaurant serving up all your Creole favorites.  I ordered the Shrimp and Grits and it was so good.  The grits where prepared in a grit cake style with creamy sauce with fresh shrimp.  It was so good.  I also recommend ordering their Ceaser Salad.  The dress for the salad is made in house.  You have to order a Hurricane beverage as well.  The Crawfish Mac & Cheese is another excellent entrée to order.  For dessert you have to try the Bread Pudding.,0.675,0.675,1,0,1
36,Broadway Oyster Bar,5,"I'm totally good to leave New Orleans and plant here in St Louis. This place is the Mac-Diggity.
I'm not going to take points off for this but their ""BBQ shrimp"" is Not up to Comanders in NO, but then, $1 oysters, good beer and live music? 5-star IMO. Also the grilled oysters are good!",0.5095454545454545,0.550909090909091,1,0,1
37,Broadway Oyster Bar,4,"What an fun atmosphere! Right by the stadium. Live music. Great live music. Kimmy bar tender was busy busy but so good. I got the Nola bbq shrimp appetizer. Very good. I also ordered the crawfish etoufee. It was different than what I’m accustomed to. Bigger slices of veggies. Rue was a little lighter but still good. Descent price drinks. It’s a historic, hole in the wall place. I will repeat.",0.28971011131725416,0.47612244897959183,0,0,1
38,Broadway Oyster Bar,5,"My 6th time eating there and I can't stop eating the Oysters Medley! Cooked to perfection with the perfect amount of cheeses and Spinach and soooo savory! Im the only who eats them in my household, sooo um, yea, all 6 are getting eaten❤️ OYSTERS NOLA😋",0.5,1.0,0,0,1
39,Broadway Oyster Bar,5,I had a wonderful first visit. Helpful friendly staff and welcoming patrons. First rate live entertainment and the food was delicious. Highly recommend the shrimp voodoo. Found my corner too!,0.45876623376623377,0.6009523809523809,0,0,1
40,Broadway Oyster Bar,5,"This establishment lives up to it's reputation as a premier dining site in St. Louis. I made reservations for my sister and myself on what was a busy Sunday afternoon. We were seated at a breezy location just past the threshold entering the rear section. The live music seemed a bit loud - at first.

Our server, Dawn, was quick and responsive and welcoming. We chose the sample patter with an order of crab cakes to share. Talk about spicy! The menu gave fair warning and each dish was spicy and delicious. We became so engrossed in enjoying the meal and our conversation that the music became pleasant background atmosphere. It was a lively place - and a restaurant I look forward to visiting again. Ah, and the bread pudding was delicious as well.",0.40189393939393936,0.6375000000000001,0,0,1
41,Broadway Oyster Bar,4,"The host initially said an hour wait for patio seating but seated us in Abt 15 min. Food was great. Oysters Cardinals and shrimp and mushroom pasta..I added crawfish..my friend had Oysters ben something...lol, shrimp voodoo and mona pasta. We both had signature drinks. Total 152. Gave a 15 dollar tip. Great service.",0.4,0.5625,0,0,1
42,Broadway Oyster Bar,4,"Food was really good and fairly priced, the only issue we had was they seated us outside claiming they had no inside staff, so we had to fight off all the flies as we tried to enjoy our food, the staff was friendly as well!",0.378125,0.5916666666666667,0,0,1
43,Broadway Oyster Bar,5,"Food is excellent! Gator tacos, yum! Decor is fun! Live music is so good!",0.5965909090909091,0.575,1,0,1
44,Broadway Oyster Bar,1,"did no one else try this etouffe? I got the sampler platter, the rest of which was inoffensive at best - didn’t necessarily taste bad, but did not taste like what it was supposed to be. more mexican rice than anything. etouffe tasted and had the consistency of a banquet sweet and sour chicken freezer meal, complete with freezer onions and peppers. drinks were pretty good. at least it wasn’t too expensive",0.049999999999999996,0.5589743589743591,0,0,1
45,Broadway Oyster Bar,5,"Great food, friendly staff, and a cool atmosphere. We had the alligator cheesecake and crab cakes.",0.5083333333333333,0.6333333333333333,1,0,1
46,Broadway Oyster Bar,5,"REDEMPTION!!!
The hot bartenders inside Pride Weekend & Now Lauren Jul1st, AMAAAZING Experiences!! I even ordered a 2nd of the Amaazing Bubbling¡ CHAR-GRILLED OYSTERS, [& tequila wings to-go] So delectable. AND I deleted my prior 'sassy' review, thanks again!",0.16015625,0.2625,0,0,1
47,Broadway Oyster Bar,5,This place is amazing! We really loved all the dishes we tried. If you are in SLM this restaurant is a must!,0.8125,0.8500000000000001,1,0,1
48,Broadway Oyster Bar,5,Took our daughter here for her 26th birthday and everyone was so friendly! The food was to die for! Will definitely be back.,0.29296875,0.25,0,0,1
49,Broadway Oyster Bar,5,"This place is on the edge of town and a little tricky to get to because of construction, but well worth the effort. The wall facing the parking lot is painted with a festive mural. There is a bar with plenty of seating and live music outside. Inside is cozy and reminiscent of New Orleans. The food is Cajun and everything has heat to it, so be mindful. Everything was tasty and service was informative, courteous and professional. We will definitely return when we're in St Louis again!",0.08852272727272727,0.4454545454545455,0,0,1
50,Broadway Oyster Bar,3,"This was my first trip to Broadway Oyster Bar, which was decent overall. I ordered Shrimp Tacos and had a Hurricane cocktail. The food and cocktail was delicious!

While the food was great, beware that there isn't a lot of air conditioning in the building! They just have big fans turned on. I went recently and it was very hard to eat hot seafood while it was very humid indoors. I was also very surprised to see that they do not do separate checks. These are just items to be aware of if you take a big group here during the summertime!",0.22057692307692306,0.4849358974358974,0,0,1
51,Bridge Tap House & Wine Bar,5,"What a phenomenal experience! We loved everything about this gorgeous St. Louis gem. The artistic atmosphere, and the food was a work of art too. The flavors were even better than the food looked (and the food was presented with professional precision). Jason gave us a warm welcome and took excellent care of us throughout the meal. We most definitely will be returning and recommending! Bravo!",0.5325757575757576,0.6636363636363637,1,0,1
52,Bridge Tap House & Wine Bar,5,"first timer...i was treated to a bornDay drink @ this cozy spot on locust st downtown...the blackberry cider was SUPER tasty😋 it was first time assembling a small a la carte charcuterie w smoked gouda, duck sausage😋, focaccia bread, an assortment of nuts & dried fruit and cheddar...cant WAIT to comr back‼️",0.030555555555555548,0.513888888888889,0,0,1
53,Bridge Tap House & Wine Bar,5,"Food was good. Good selection of wines and beers. They don't have a wide variety of whiskeys or Bourbon, but still a great place to visit.",0.5249999999999999,0.5875,1,0,1
54,Bridge Tap House & Wine Bar,4,"My wife and I went there for dinner. We got the steak meal and the chicken with risotto. The steak was cooked perfect, just too salty for us. The chicken plate was great. Our service was great also, except what appeared to be the manger had nothing to say to us as we left the establishment.",0.23333333333333336,0.7333333333333334,0,0,1
55,Bridge Tap House & Wine Bar,5,Amazing service and food. So many drink options!  A great low light date night atmosphere. So worth the price!,0.46666666666666673,0.5416666666666666,0,0,1
56,Bridge Tap House & Wine Bar,5,9/22/2022: Nice staff. Great menu and beer variety. Loved the a la carte meat and cheese boards,0.6999999999999998,0.85,1,0,1
57,Bridge Tap House & Wine Bar,3,"The beer and wine selection are great. Service attentive and apologetic. The food is good, but not as amazing as the menu would suggest, and small portions. The problem is the acoustics in the backward main seating area. Like an echo chamber it amplifies everything. There was a loud party of 10 next to us. It was so noisy, conversation became impossible. Don’t come here with customers.",0.20555555555555557,0.6314814814814815,0,0,1
58,Bridge Tap House & Wine Bar,1,"The restaurant is in a very empty side of town. The decor and food are good. However, the experience was ruined by a manager who was either having a bad day or just on a power trip. As soon as we walked in, he wasn’t happy cause we choose to drink at the bar as opposed to getting a table. That proceeded with “oh you can stand and eat, therefore we can’t put in any food orders”, never heard of such a rule. So we decided to get a table, only for the waiter to say “yeah I can’t sever you any more drinks cause you drank at the bar”. Brilliant!!! Can we have our checks then? The situation just escalated from then on, manager accused us of being rude to him followed by telling us get out of the restaurant. I understand everyone is short staffed and doing their best but that doesn’t give you the reason to be unprofessional to any customer. We were 8 in our group and all we wanted to do was relax after a full day of working. This establishment definitely needs a new manager asap.",0.23974025974025975,0.6158008658008657,0,0,1
59,Bridge Tap House & Wine Bar,3,"3 stars for the food which was really good but in my opinion overpriced and our waiter. He was in fire and super nice. The rest of employees seemed lethargic and not really welcoming. Got a whole lot of beer. I prefer a small selection of good beer rather than beer which tastes more like lemonade instead of beer.
Interieur is nice",0.3648148148148148,0.5962962962962963,0,0,1
60,Bridge Tap House & Wine Bar,5,"We enjoyed great service, wine and food at the bar. We didn’t have reservations and were welcomed in by the front of house staff to the bar. The server at the bar was lovely. Helped us with food selections and very attentive. Thank you!",0.6125,0.8,1,0,1
61,Bridge Tap House & Wine Bar,5,"I went in with no particular expectations and I have to say that the vibe, service, and food experience make this place a gem. The name underserves the possibilities. It's not Michelin star, but neither are the prices.  It's a fun and intimate place for couples or hanging out with lots of friends.  Service, though new was great- attentive, knowledgeable, and prompt.  There are 3 menu items that were mouth-wateringly good and are must try. The Cuba Missouri is a local version of a Cubano but with mojo smoke pork with layered thin sliced meat and an addictive sauce on brioche bun.  The tomato bisque is made with fresh ingredients, not too heavy on the cream, perfect basil and seasonings and even has a fruity plum-like undertone that is a delight... extremely well done.  Lastly, the duck charcuterie, especially the sausage and ciabatta, is a must order.  Enjoy!",0.20753119429590017,0.5973262032085561,0,0,1
62,Bridge Tap House & Wine Bar,5,"What a classy place this is!
Absolutely loved the interior...
The lamb meatballs had a great North African flavor, the salmon rillette was not a real rillette but nonetheless very tasty and the huge choice of local and international beers and wines made this a wonderful experience.
I'll be back!!",0.2840909090909091,0.44999999999999996,0,0,1
63,Bridge Tap House & Wine Bar,3,We created our own cheese/charcuterie board which was fun.  Most of our food was good.  My steak entree was delicious and cooked well.  We ordered a salad that was overdressed and salty - we couldn’t eat it.  One thing that was really hard to overlook was the massive amount of dust and dirt collected on the fan we were sitting right next to.  Most of the seating is in a loft area where we had a direct view of this fan and honestly it just really grossed us out.  It made me wonder what else was unclean.,0.3456959706959707,0.5674908424908426,0,0,1
64,Bridge Tap House & Wine Bar,5,"We really enjoyed our time at Bridge! Very cool space. Practically made an entire meal out of cheese and meat boards, every single thing was delicious.",0.4017142857142858,0.6768571428571428,0,0,1
65,Bridge Tap House & Wine Bar,4,Very interesting and good flavors. We had three different cheese boards plus the pretzel balls. My fave was the orange jam and the pretzels. The focaccia bread was excellent. Wine was good. A bit more selection would be nice.  I thought it was a bit pricey. See photos and it was a $90 tab for 3 with 2 glasses of wine. I probably won’t return.,0.5928571428571427,0.7071428571428572,1,0,1
66,Bridge Tap House & Wine Bar,4,"Good food, nice flavors.  Nice list of beers and wines.  Not the greatest pours for the wine so get beer if you like it better.",0.6799999999999999,0.82,1,0,1
67,Bridge Tap House & Wine Bar,5,Good food and a lot drink selections. The largest selection of wine in the area.,0.7,0.6000000000000001,1,0,1
68,Bridge Tap House & Wine Bar,5,"Fabulous food, excellent service and so many wine and beer options! Montana was our server and she was a delight. Very helpful in making food and drink selections. Our family went on our first night in St. Louis and was a perfect start to our vacation.",0.5791666666666667,0.6888888888888888,1,0,1
69,Bridge Tap House & Wine Bar,5,"Every time we go here, we wonder why we don't only eat here. They have, maybe not the biggest, but definitely the best-curated beer selection in the city. Everything I have eaten there is one of the best things I have ever eaten. The servers are always incredible, but our server yesterday (I think her name was Ann Marie) was a new level of amazing. Vegetarian-friendliness: high. We usually just get a cheese and olive board, but they have several vegetarian options on their menu.",0.2829292929292929,0.5382828282828283,0,0,1
70,Bridge Tap House & Wine Bar,5,"Amazing food, strong drinks, and a fantastic atmosphere. Wish they had a cocktail menu and spent more than I expected but there's no way this gem deserves less than a 4.7",0.22380952380952382,0.5142857142857143,0,0,1
71,Bridge Tap House & Wine Bar,5,A gem! Excellent service and great food. 'Build your own charcuterie' was fun and delicious. Nice ambiance for a date night.,0.7166666666666667,0.8250000000000001,1,0,1
72,Bridge Tap House & Wine Bar,5,"Very tasty food, with large variety of tap beer and wine. My favorite was the Bailey's Ale and the Two Hearted Ale. Staff was helpful and very nice. Relaxing atmosphere in all. Excellent location in downtown. Wonderful experience.",0.6157142857142858,0.7880952380952381,1,0,1
73,Bridge Tap House & Wine Bar,4,"Excellent dinner. My pasta was VERY HOT when it was served and stayed hot the whole time. Many times pasta dishes tend to cool but this was excellent.

My grandaughter had the pork chop on mashed potatoes. Wow. It was huge.

We tasted 3 Greek white wines, delicious!

They have a lovely variety of charcuterie boards to share. Great for a group.",0.4589285714285714,0.7000000000000001,0,0,1
74,Bridge Tap House & Wine Bar,5,Amazing food and excellent beer selection! Calm and quiet on a sunday afternoon. Highly recommend. Staff was warm and friendly.,0.4335714285714286,0.6604761904761904,0,0,1
75,Bridge Tap House & Wine Bar,5,"This was a really wonderful dining experience. The venue itself is charming and well appointed. The second floor seating area feels cozy and warm without being crowded. I enjoyed getting to look out into the rest of the restaurant and onto the night street. The staff was top notch, second only to the great food that was served. Each item I ate had real depth of flavor. The food tasted new and unique with creative flavor combinations, but was based on familiar cuisine. Oh, and the wine was perfect. The price was well very reasonable considering the high caliber of the meal. I don't make it St. Louis often, but next time I do, I'll stop in again.",0.3634928229665072,0.6249760765550239,0,0,1
76,Bridge Tap House & Wine Bar,1,We made a reservation weeks in advance and they canceled on us minutes before with no notice because they had a large wedding party. I guess they were more important 🤷 😕,0.37142857142857144,0.6428571428571429,0,0,1
77,Bridge Tap House & Wine Bar,5,"Inventive ingredients in well composed dishes. Food was all very good. We had Burrata a++, salmon rillettes, gjetost mac n cheese, steak salad and grilled cheese. Excellent wines by the glass, taps, wine list, bourbons etc. Pleasing decor. Very clean. Part of a small restaurant group called Bailey's.",0.5273333333333333,0.8180000000000002,1,0,1
78,Bridge Tap House & Wine Bar,5,"We pre gamed a little to hard before we got there so the waiter, Jeffery built us a charcuterie board then told us what told us what to order (the Carolina pork chop) .  We couldnt have been more happy!!  The food was sooo good and the atmosphere was really neat!",0.3284722222222222,0.5569444444444445,0,0,1
79,Bridge Tap House & Wine Bar,5,"Visiting from the San Francisco Bay Area. I am a vegan / plant-based person and recommend the ""HerbiBoard"". Pro-tip: order some extra crackers to scoop up all the flavor.",0.0,0.1,0,0,1
80,Bridge Tap House & Wine Bar,5,"Nice relaxing restaurant.   Food was good, Mac n Cheese and pasta was very good.  Service was good as well.  Chill, a little younger vibe.",0.45375000000000004,0.5800000000000001,0,0,1
81,Bridge Tap House & Wine Bar,4,Good food and drink. Tons of beers on tap.,0.7,0.6000000000000001,1,0,1
82,Bridge Tap House & Wine Bar,4,"Their drink selection is huge. Absolutely loved it. The Pad Thai entree, not so much. It tastes nothing how traditional Pad Thai tastes. I ordered some cinnamon pretzels for my app and those were superb. The nutmeg glaze gave it a fall season dessert feeling.",0.45999999999999996,0.7300000000000001,0,0,1
83,Bridge Tap House & Wine Bar,5,"This is a place with an upscale environment and sensible prices. You can easily meet a group of friends here and have a great drink from either the beer, wine, or cocktail list and even a few bites to eat and not break a budget! However, you can also have a romantic dinner here and partake in having the higher priced items and still have a great night. A very nice and fun tap house and wine bar located in downtown.",0.38916666666666666,0.5791666666666667,0,0,1
